textbook_id,grade,subject,category,curriculum_relevance,filename,num_pages,file_size_mb,has_selectable_text,is_image_only,ocr_requirement,total_extracted_characters,avg_chars_per_page,relative_path
gseb_std12_12_biology_lab_manual_englishm_pdf_em,STD-12th,Science & Technology,PRACTICAL/JOURNAL,LOW,Std-12_Biology Lab Manual_EnglishM.pdf,100,46.09,False,True,REQUIRED,413,4.1,STD-12th/PRACTICAL JOURNAL/Std-12_Biology Lab Manual_EnglishM.pdf
gseb_std12_12_chemistry_part_2_englishmedium_pdf_em,STD-12th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-12 Chemistry Part-2_EnglishMedium.pdf,164,10.95,True,False,NONE,140865,858.9,STD-12th/SCIENCE/Std-12 Chemistry Part-2_EnglishMedium.pdf
gseb_std12_12_biology_englishmedium_pdf_em,STD-12th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-12_Biology_EnglishMedium.pdf,240,176.77,True,False,NONE,393008,1637.5,STD-12th/SCIENCE/Std-12_Biology_EnglishMedium.pdf
gseb_std12_12_chemistry_part_1_englishmedium_pdf_em,STD-12th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-12_Chemistry Part-1_EnglishMedium.pdf,172,13.59,True,False,NONE,296986,1726.7,STD-12th/SCIENCE/Std-12_Chemistry Part-1_EnglishMedium.pdf
gseb_std12_12_maths_part1_englishmedium_pdf_em,STD-12th,Mathematics,CORE_TEXTBOOK,HIGH,Std-12_Maths-Part1_EnglishMedium.pdf,236,2.61,True,False,NONE,1220670,5172.3,STD-12th/SCIENCE/Std-12_Maths-Part1_EnglishMedium.pdf
gseb_std12_12_maths_part2_englishmedium_pdf_em,STD-12th,Mathematics,CORE_TEXTBOOK,HIGH,Std-12_Maths-Part2_EnglishMedium.pdf,248,3.08,True,False,NONE,1112891,4487.5,STD-12th/SCIENCE/Std-12_Maths-Part2_EnglishMedium.pdf
gseb_std12_12_physics_part_1_english_medium_pdf_em,STD-12th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-12_Physics Part-1_English Medium.pdf,235,7.09,True,False,NONE,496946,2114.7,STD-12th/SCIENCE/Std-12_Physics Part-1_English Medium.pdf
gseb_std12_12_physics_part_2_english_medium_pdf_em,STD-12th,Science & Technology,CORE_TEXTBOOK,HIGH,Std-12_Physics Part-2_English Medium.pdf,152,6.53,True,False,NONE,1097916,7223.1,STD-12th/SCIENCE/Std-12_Physics Part-2_English Medium.pdf
gseb_std12_12_economics_selflearningbook_englishmedium_pdf_em,STD-12th,Commerce & Economics,SELF_LEARNING,MEDIUM,Std-12_Economics_SelfLearningBook _EnglishMedium.pdf,216,47.74,False,False,HYBRID_OPTIONAL,3672,17.0,STD-12th/SELF LEARNING BOOKs/Std-12_Economics_SelfLearningBook _EnglishMedium.pdf
gseb_std12_12_commercial_cooresponda_secretarial_practice_e_m_pdf_em,STD-12th,Commerce & Economics,UNKNOWN,LOW,Std-12 Commercial Cooresponda...Secretarial Practice E.M..pdf,168,21.99,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Commercial Cooresponda...Secretarial Practice E.M..pdf
gseb_std12_12_commercial_organization_and_management_e_m_pdf_em,STD-12th,Commerce & Economics,UNKNOWN,LOW,Std-12 Commercial Organization and Management E.M..pdf,160,23.0,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Commercial Organization and Management E.M..pdf
gseb_std12_12_elements_of_accounts_part_1_e_m_pdf_em,STD-12th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std-12 Elements of Accounts Part-1 E.M..pdf,336,29.78,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Elements of Accounts Part-1 E.M..pdf
gseb_std12_12_elements_of_accounts_part_2_e_m_pdf_em,STD-12th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std-12 Elements of Accounts Part-2 E.M..pdf,304,28.02,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Elements of Accounts Part-2 E.M..pdf
gseb_std12_12_geography_e_m_pdf_em,STD-12th,Social Science & Humanities,CORE_TEXTBOOK,HIGH,Std-12 Geography E.M.pdf,121,22.53,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Geography E.M.pdf
gseb_std12_12_lapwing_supplementry_reader_pdf_em,STD-12th,General / Elective,SUPPLEMENTARY_TEXTBOOK,MEDIUM,Std-12 Lapwing__Supplementry_Reader.pdf,101,37.35,False,True,REQUIRED,20,0.2,STD-12th/Std-12 Lapwing__Supplementry_Reader.pdf
gseb_std12_12_psychology_e_m_pdf_em,STD-12th,General / Elective,CORE_TEXTBOOK,HIGH,Std-12 Psychology E.M.pdf,144,20.25,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Psychology E.M.pdf
gseb_std12_12_sanskrit_e_m_pdf_em,STD-12th,Sanskrit Literature,CORE_TEXTBOOK,HIGH,Std-12 Sanskrit E.M.pdf,120,13.71,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Sanskrit E.M.pdf
gseb_std12_12_sociology_e_m_pdf_em,STD-12th,General / Elective,CORE_TEXTBOOK,HIGH,Std-12 Sociology E.M.pdf,118,82.51,False,True,REQUIRED,220,1.9,STD-12th/Std-12 Sociology E.M.pdf
gseb_std12_12_sociology_english_medium_pdf_em,STD-12th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-12 Sociology English Medium.pdf,116,17.89,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Sociology English Medium.pdf
gseb_std12_12_statistics_part_1_e_m_pdf_em,STD-12th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std-12 Statistics Part-1 E.M.pdf,200,15.77,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Statistics Part-1 E.M.pdf
gseb_std12_12_statistics_part_2_e_m_pdf_em,STD-12th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std-12 Statistics Part-2 E.M.pdf,216,16.73,False,True,REQUIRED,0,0.0,STD-12th/Std-12 Statistics Part-2 E.M.pdf
